Match,TeamInnings,Name,Runs,Balls,Fours,Sixes,Strike_Rate,pos,Out_or_Notout,MatchId
Zimbabwe Vs Ireland,Zimbabwe,Luke Jongwe ,20,10,3,0,200.00,8,not out ,1828
Zimbabwe Vs Ireland,Ireland,Paul Stirling ,0,2,0,0,0.00,1,out,1828
Zimbabwe Vs Ireland,Ireland,Andy Balbirnie ,3,4,0,0,75.00,2,out,1828
Zimbabwe Vs Ireland,Ireland,Lorcan Tucker ,11,11,2,0,100.00,3,out,1828
Zimbabwe Vs Ireland,Ireland,Harry Tector ,1,4,0,0,25.00,4,out,1828
Zimbabwe Vs Ireland,Ireland,Curtis Campher ,27,22,1,0,122.72,5,out,1828
Zimbabwe Vs Ireland,Ireland,George Dockrell ,24,20,3,0,120.00,6,out,1828
Zimbabwe Vs Ireland,Ireland,Gareth Delany ,24,20,1,1,120.00,7,out,1828
Zimbabwe Vs Ireland,Ireland,Mark Adair ,9,10,0,1,90.00,8,out,1828
Zimbabwe Vs Ireland,Ireland,Simi Singh ,0,1,0,0,0.00,9,out,1828
Zimbabwe Vs Ireland,Ireland,Barry McCarthy ,22,16,1,2,137.50,10,not out ,1828
Zimbabwe Vs Ireland,Ireland,Josh Little ,7,11,1,0,63.63,11,not out ,1828
Namibia Vs Netherlands,Namibia,Michael van Lingen ,20,19,3,0,105.26,1,out,1830
Namibia Vs Netherlands,Namibia,Divan la Cock ,0,2,0,0,0.00,2,out,1830
Namibia Vs Netherlands,Namibia,Stephan Baard ,19,22,0,0,86.36,3,out,1830
Namibia Vs Netherlands,Namibia,Jan Nicol Loftie Eaton ,0,2,0,0,0.00,4,out,1830
Namibia Vs Netherlands,Namibia,Jan Frylinck ,43,48,1,1,89.58,5,out,1830
Namibia Vs Netherlands,Namibia,Gerhard Erasmus ,16,18,0,0,88.88,6,out,1830
Namibia Vs Netherlands,Namibia,David Wiese ,11,5,1,0,220.00,7,not out ,1830
Namibia Vs Netherlands,Namibia,JJ Smit ,5,4,1,0,125.00,8,not out ,1830
Namibia Vs Netherlands,Netherlands,Max O Dowd ,35,35,1,1,100.00,1,out,1830
Namibia Vs Netherlands,Netherlands,Vikramjit Singh ,39,31,3,2,125.80,2,out,1830
Namibia Vs Netherlands,Netherlands,Bas de Leede ,30,30,2,0,100.00,3,not out ,1830
Namibia Vs Netherlands,Netherlands,Tom Cooper ,6,6,1,0,100.00,4,out,1830
Namibia Vs Netherlands,Netherlands,Colin Ackermann ,0,2,0,0,0.00,5,out,1830
Namibia Vs Netherlands,Netherlands,Scott Edwards ,1,5,0,0,20.00,6,out,1830
Namibia Vs Netherlands,Netherlands,Tim Pringle ,8,9,0,0,88.88,7,not out ,1830
Sri Lanka Vs U.A.E.,Sri Lanka,Pathum Nissanka ,74,60,6,2,123.33,1,out,1832
Sri Lanka Vs U.A.E.,Sri Lanka,Kusal Mendis ,18,13,2,0,138.46,2,out,1832
Sri Lanka Vs U.A.E.,Sri Lanka,Dhananjaya de Silva ,33,21,3,1,157.14,3,out,1832
Sri Lanka Vs U.A.E.,Sri Lanka,Bhanuka Rajapaksa ,5,8,0,0,62.50,4,out,1832
Sri Lanka Vs U.A.E.,Sri Lanka,Charith Asalanka ,0,1,0,0,0.00,5,out,1832
Sri Lanka Vs U.A.E.,Sri Lanka,Dasun Shanaka ,0,1,0,0,0.00,6,out,1832
Sri Lanka Vs U.A.E.,Sri Lanka,Wanindu Hasaranga de Silva ,2,3,0,0,66.66,7,out,1832
Sri Lanka Vs U.A.E.,Sri Lanka,Chamika Karunaratne ,8,11,1,0,72.72,8,out,1832
Sri Lanka Vs U.A.E.,Sri Lanka,Pramod Madushan ,1,1,0,0,100.00,9,not out ,1832
